Interessado;UF;Tipo de interessado;Tipo de operação;Finalidade;Tipo de credor;Credor;Moeda;Valor;Número do Processo/PVL;Código IBGE;Status;Data
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;64.800.000,00;17944.000219/2013-84;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;900.000,00;17944.000221/2013-53;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.019.086,65;17944.000222/2013-06;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.687.756,54;17944.000225/2013-31;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.549.253,43;17944.000226/2013-86;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.500.000,00;17944.000227/2013-21;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;7.463.466,13;17944.000228/2013-75;12;Deferido;27/05/2013
Acre;AC;Estado;Operação Contratual Interna;PAC - Pró-Moradia - 2008;Instituição Financeira Nacional;Caixa Econômica Federal;Real;17.180.000,00;17944.000247/2009-15;12;Deferido;15/05/2009
Acre;AC;Estado;Operação Contratual Externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;156.805.840,00;17944.000253/2002-04;12;Autorizado pelo Senado Federal;05/06/2002
Acre;AC;Estado;Operação Contratual Interna;PAC - Saneamento - 2008;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;60.759.000,00;17944.000420/2008-02;12;Deferido;28/03/2008
Acre;AC;Estado;Operação Contratual Interna;PAC - Saneamento - 2008;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;9.000.000,00;17944.000452/2008-08;12;Deferido;28/03/2008
Acre;AC;Estado;Operação Contratual Interna;PMAE;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;7.000.000,00;17944.000453/2008-44;12;Deferido;28/03/2008
Acre;AC;Estado;Operação Contratual Interna;Desenvolvimento sustentável;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;440.506.805,00;17944.000454/2008-99;12;Deferido;28/03/2008
Acre;AC;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;22.191.848,71;17944.000513/2004-03;12;Deferido;02/06/2004
Acre;AC;Estado;Operação Contratual Interna (com garantia da União);Saneamento básico;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;240.662.000,00;17944.000610/2013-89;12;Deferido;28/07/2014
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;136.886.666,00;17944.000687/2005-49;12;Deferido;03/06/2005
Acre;AC;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;850.000,00;17944.000688/2005-93;12;Deferido;03/06/2005
Acre;AC;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;34.150.000,00;17944.000841/2013-92;12;Deferido;07/04/2014
Acre;AC;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;55.119.000,00;17944.000842/2013-37;12;Deferido;07/04/2014
Acre;AC;Estado;Operação Contratual Externa (com garantia da União);Saneamento básico;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;150.000.000,00;17944.000944/2014-33;12;Pendente de correções ou ajustes;15/10/2015
Acre;AC;Estado;Operação Contratual Interna;Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;35.370.000,00;17944.000986/2013-93;12;Deferido;07/04/2014
Acre;AC;Estado;Operação Contratual Interna;Desenvolvimento sustentável;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;136.876.500,00;17944.001040/2009-68;12;Deferido;22/10/2009
Acre;AC;Estado;Operação Contratual Interna (com garantia da União);PEF - Programa Emergencial de Financiamento dos Estados/DF;Instituição Financeira Nacional;Banco do Brasil S/A;Real;136.840.000,00;17944.001109/2009-53;12;Deferido;22/10/2009
Acre;AC;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;121.991.238,62;17944.001231/2011-44;12;Deferido;06/10/2011
Acre;AC;Estado;Operação Contratual Interna;PAC 2 - Pró-Moradia;Instituição Financeira Nacional;Caixa Econômica Federal;Real;9.961.818,18;17944.001232/2011-99;12;Deferido;06/10/2011
Acre;AC;Estado;Operação Contratual Externa (com garantia da União);Profisco;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;22.500.000,00;17944.001269/2013-89;12;Pendente de correções ou ajustes;15/10/2015
Acre;AC;Estado;Operação Contratual Externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;72.000.000,00;17944.001334/2012-95;12;Deferido;06/05/2013
Acre;AC;Estado;Operação Contratual Interna;BNDES Estados;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;641.160.000,00;17944.001336/2011-01;12;Deferido;14/02/2012
Acre;AC;Estado;Operação Contratual Externa (com garantia da União);Fortalecimento Institucional;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;250.000.000,00;17944.001367/2013-16;12;Deferido;06/02/2014
Acre;AC;Estado;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;240.662.000,00;17944.001402/2012-16;12;Arquivado a pedido;17/07/2013
Acre;AC;Estado;Operação Contratual Interna (com garantia da União);Proinveste;Instituição Financeira Nacional;Banco do Brasil S/A;Real;69.389.583,10;17944.001406/2012-02;12;Deferido;18/12/2012
Acre;AC;Estado;Operação Contratual Interna (com garantia da União);Proinveste;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;383.202.882,73;17944.001407/2012-49;12;Deferido;18/12/2012
Acre;AC;Estado;Operação Contratual Interna;PAC - Pró-Moradia - 2008;Instituição Financeira Nacional;Caixa Econômica Federal;Real;31.220.000,00;17944.001410/2008-86;12;Deferido;12/06/2008
Acre;AC;Estado;Operação Contratual Interna (com garantia da União);PEF - Programa Emergencial de Financiamento dos Estados/DF 2;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;205.260.000,00;17944.001578/2009-72;12;Contrato assinado;15/12/2009
Acre;AC;Estado;Operação Contratual Interna;PAC - Pró-Moradia - 2009;Instituição Financeira Nacional;Caixa Econômica Federal;Real;11.592.000,00;17944.001702/2009-08;12;Arquivado;29/12/2010
Acre;AC;Estado;Operação Contratual Externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;120.000.000,00;17944.002025/2008-56;12;Autorizado pelo Senado Federal;18/12/2008
Açucena;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000,00;00000.000000/0068-24;3100500;Devolvido;20/05/2011
Açucena;MG;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;448.470,00;17944.000201/2008-15;3100500;Deferido;27/02/2008
Açucena;MG;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Empresa;Cemig Distribuição S/A;Real;77.948,28;17944.000338/2008-70;3100500;Regularizado;27/02/2008
Açucena;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000,00;17944.000660/2011-02;3100500;Deferido;29/06/2011
Adamantina;SP;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;1.250.000,00;00000.000000/0063-73;3500105;Devolvido;08/12/2010
Adamantina;SP;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;1.250.000,00;00000.000000/0065-46;3500105;Devolvido;01/02/2011
Adamantina;SP;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;253.500,00;17944.001034/2008-20;3500105;Arquivado;12/03/2009
Adamantina;SP;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;1.250.000,00;17944.001447/2011-18;3500105;Arquivado por decurso de prazo;16/01/2013
Adrianópolis;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;537.000,00;17944.001861/2013-81;4100202;Arquivado por decurso de prazo;16/10/2014
Adrianópolis;PR;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;203.072,00;19406.000083/2008-68;4100202;Arquivado por decurso de prazo;15/05/2008
Adrianópolis;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;550.000,00;19406.000301/2008-64;4100202;Deferido;23/05/2008
Adrianópolis;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;401.200,00;19406.000384/2008-91;4100202;Deferido;28/04/2008
Adrianópolis;PR;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Empresa Estatal;Companhia Paranaense de Energia;Real;726.508,00;19406.000385/2008-36;4100202;Regularizado;28/04/2008
Adrianópolis;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;407.681,82;19406.000430/2010-77;4100202;Deferido;11/10/2010
Afonso Cláudio;ES;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.250.000,00;17944.001172/2009-90;3200102;Deferido;24/05/2012
Afrânio;PE;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.000.000,00;17944.001006/2014-51;2600203;Arquivado por decurso de prazo;18/02/2015
Afrânio;PE;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;520.000,00;17944.001105/2007-11;2600203;Arquivado;08/10/2007
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.000.000,00;17944.000371/2014-48;4200200;Deferido;03/04/2014
Agrolândia;SC;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;300.000,00;17944.000691/2008-50;4200200;Deferido;03/06/2008
Agrolândia;SC;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;259.250,00;17944.001765/2014-13;4200200;Deferido;03/12/2014
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.900.000,00;17944.001861/2011-19;4200200;Deferido;30/11/2011
Agrolândia;SC;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Outras;Pessoa Jurídica;Real;85.000,00;19406.000012/2007-84;4200200;Regularizado;05/07/2007
Agrolândia;SC;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;216.942,00;19406.000076/2005-13;4200200;Deferido;21/12/2005
Agrolândia;SC;Município;Operação Contratual Interna;Renegociação de dívidas;Outras;Pessoa Jurídica;Real;86.703,40;19406.000088/2007-18;4200200;Deferido;05/07/2007
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;200.000,00;19406.000162/2003-64;4200200;Deferido;07/10/2003
Agrolândia;SC;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;450.000,00;19406.000352/2009-77;4200200;Deferido;16/03/2010
Agrolândia;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;300.000,00;19406.000503/2007-25;4200200;Deferido;19/12/2007
Agrolândia;SC;Município;Operação Contratual Interna;Multissetorial;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;200.000,00;19406.000769/2006-97;4200200;Deferido;05/07/2007
Agronômica;SC;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.000.000,00;17944.000041/2015-33;4200309;Deferido;21/07/2015
Agronômica;SC;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco do Brasil S/A;Real;321.000,00;17944.000199/2011-80;4200309;Deferido;09/03/2011
Agronômica;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.000.000,00;17944.001477/2013-88;4200309;Deferido;02/04/2014
Agronômica;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;90.000,00;19406.000125/2002-75;4200309;Deferido;12/07/2002
Água Azul do Norte;PA;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;540.200,00;17944.000252/2008-47;1500347;Arquivado;16/04/2008
Água Boa;MT;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;250.000,00;17944.000732/2004-84;5100201;Deferido;30/06/2004
Água Boa;MT;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;314.750,00;17944.000802/2008-28;5100201;Arquivado;13/03/2009
Água Boa;MT;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.000.000,00;17944.000838/2009-92;5100201;Arquivado;21/01/2011
Água Boa;MT;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Empresa;Centrais Elétricas Matogrossenses S.A.;Real;572.476,02;17944.000846/2009-39;5100201;Regularizado;06/07/2010
Água Boa;MT;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco do Brasil S/A;Real;336.150,00;17944.001051/2009-48;5100201;Arquivado;21/01/2011
Água Branca;AL;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;787.000,00;17944.001125/2009-46;2700102;Arquivado;20/01/2011
Água Branca;PI;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;335.000,00;17944.001823/2011-66;2200202;Arquivado por decurso de prazo;21/01/2013
Água Branca;PI;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.200.000,00;17944.001828/2011-99;2200202;Arquivado por decurso de prazo;21/01/2013
